	Var1	Var2	Freq	Freq_val				var_name	min	1st Qu.	median 	mean	3st Qu.	max	Na																											
1		movie_id	Min.   	1			movie_title	#N/A	0	0	8000000	22666657	29000000	380000000																												
2		movie_id	1st Qu.	1848			budget	budget	0	0	8000000	22666657	29000000	380000000																												
3		movie_id	Median 	3696			release_date	release_date																																		
4		movie_id	Mean   	3698			sw_lang_en	sw_lang_en	0	1	1	0.8591	1	1																												
5		movie_id	3rd Qu.	5550			sw_tagline	sw_tagline																																		
6		movie_id	Max.   	7398			release_month	release_month																																		
7		movie_id	NA				seasonality	seasonality																																		
8		budget	Min.   	0			countries_cnt	countries_cnt																																		
9		budget	1st Qu.	0			lang_RU	lang_RU																																		
10		budget	Median 	8000000			actor0_movies_cnt	actor0_movies_cnt																																		
11		budget	Mean   	22666657			actor1_movies_5y_cnt	actor1_movies_5y_cnt																																		
12		budget	3rd Qu.	29000000			sw_female_actor0	sw_female_actor0																																		
13		budget	Max.   	380000000			sw_male_actor0	sw_male_actor0																																		
14		budget	NA				actor0_prev_revenue	actor0_prev_revenue																																		
15		original_language	Length	7375			director_movies_cnt	director_movies_cnt																																		
16		original_language	Class 	character  			genre_fantasy	genre_fantasy							budget	release_date	sw_lang_en	sw_tagline	release_month	seasonality	countries_cnt	lang_RU	actor0_movies_cnt	actor1_movies_5y_cnt	sw_female_actor0	sw_male_actor0	actor0_prev_revenue	director_movies_cnt	genre_fantasy	genre_horror	genre_history	genre_crime	genre_mystery	genre_family	depart_art	depart_custom_mkup	depart_lighting	depart_visual_effects	depart_camera_female	depart_directing_female	depart_production_female	depart_Writing_female
17		original_language	Mode  	character  			genre_horror	genre_horror																																		
18		original_language	NA				genre_history	genre_history																																		
19		original_language	NA				genre_crime	genre_crime																																		
20		original_language	NA				genre_mystery	genre_mystery																																		
21		original_language	NA				genre_family	genre_family																																		
22		popularity	Min.   	0			depart_art	depart_Art																																		
23		popularity	1st Qu.	3.97			depart_custom_mkup	depart_Custom_Mkup																																		
24		popularity	Median 	7.456			depart_lighting	depart_Lighting																																		
25		popularity	Mean   	8.54			depart_visual_effects	depart_Visual_Effects																																		
26		popularity	3rd Qu.	10.932			depart_camera_female	depart_Camera_female																																		
27		popularity	Max.   	547.488			depart_directing_female	depart_Directing_female																																		
28		popularity	NA				depart_production_female	depart_Production_female																																		
29		release_date	Length	7375			depart_Writing_female	depart_Writing_female																																		
30		release_date	Class 	character  			job interraction	#N/A																																		
31		release_date	Mode  	character  																																						
32		release_date	NA																																							
33		release_date	NA																																							
34		release_date	NA																																							
35		release_date	NA																																							
36		runtime	Min.   	0																																						
37		runtime	1st Qu.	94																																						
38		runtime	Median 	104																																						
39		runtime	Mean   	107.7																																						
40		runtime	3rd Qu.	118																																						
41		runtime	Max.   	338																																						
42		runtime	NA's   	5																																						
43		runtime_cat	Length	7375																																						
44		runtime_cat	Class 	character  																																						
45		runtime_cat	Mode  	character  																																						
46		runtime_cat	NA																																							
47		runtime_cat	NA																																							
48		runtime_cat	NA																																							
49		runtime_cat	NA																																							
50		revenue	Min.   	1.00E+00																																						
51		revenue	1st Qu.	2.41E+06																																						
52		revenue	Median 	1.69E+07																																						
53		revenue	Mean   	6.69E+07																																						
54		revenue	3rd Qu.	6.91E+07																																						
55		revenue	Max.   	1.52E+09																																						
56		revenue	NA's   	4382																																						
57		sw_lang_en	Min.   	0																																						
58		sw_lang_en	1st Qu.	1																																						
59		sw_lang_en	Median 	1																																						
60		sw_lang_en	Mean   	0.8591																																						
61		sw_lang_en	3rd Qu.	1																																						
62		sw_lang_en	Max.   	1																																						
63		sw_lang_en	NA																																							
64		sw_web_presence	Min.   	0																																						
65		sw_web_presence	1st Qu.	0																																						
66		sw_web_presence	Median 	0																																						
67		sw_web_presence	Mean   	0.3204																																						
68		sw_web_presence	3rd Qu.	1																																						
69		sw_web_presence	Max.   	1																																						
70		sw_web_presence	NA																																							
71		sw_has_poster	Min.   	0																																						
72		sw_has_poster	1st Qu.	1																																						
73		sw_has_poster	Median 	1																																						
74		sw_has_poster	Mean   	0.9997																																						
75		sw_has_poster	3rd Qu.	1																																						
76		sw_has_poster	Max.   	1																																						
77		sw_has_poster	NA																																							
78		sw_tagline	Min.   	0																																						
79		sw_tagline	1st Qu.	1																																						
80		sw_tagline	Median 	1																																						
81		sw_tagline	Mean   	0.8045																																						
82		sw_tagline	3rd Qu.	1																																						
83		sw_tagline	Max.   	1																																						
84		sw_tagline	NA																																							
85		keyword_cnt	Min.   	0																																						
86		keyword_cnt	1st Qu.	3																																						
87		keyword_cnt	Median 	6																																						
88		keyword_cnt	Mean   	7.265																																						
89		keyword_cnt	3rd Qu.	10																																						
90		keyword_cnt	Max.   	149																																						
91		keyword_cnt	NA																																							
92		release_year	Min.   	1918																																						
93		release_year	1st Qu.	1992																																						
94		release_year	Median 	2004																																						
95		release_year	Mean   	2000																																						
96		release_year	3rd Qu.	2011																																						
97		release_year	Max.   	2017																																						
98		release_year	NA's   	1																																						
99		release_month	Min.   	1																																						
100		release_month	1st Qu.	4																																						
101		release_month	Median 	7																																						
102		release_month	Mean   	6.844																																						
103		release_month	3rd Qu.	10																																						
104		release_month	Max.   	12																																						
