"","budget","release_date","sw_lang_en","sw_tagline","release_month","seasonality","countries_cnt","lang_RU","actor0_movies_cnt","actor1_movies_5y_cnt","sw_female_actor0","sw_male_actor0","actor0_prev_revenue","director_movies_cnt","genre_fantasy","genre_horror","genre_history","genre_crime","genre_mystery","genre_family","depart_Art","depart_Custom_Mkup","depart_Lighting","depart_Visual_Effects","depart_Camera_female","depart_Directing_female","depart_Production_female","depart_Writing_female"
"1",1.4e+07,"20/02/2015",1,1,2,-15309317,1,0,18,4,"0","1","116980662",3,0,0,0,0,0,0,"12","13","4","4","0","0","0","0"
"2",4e+07,"06/08/2004",1,1,8,-33273015,1,0,3,2,"1","0","165335153",9,0,0,0,0,0,1,"0","0","0","0","0","0","3","1"
"3",3300000,"10/10/2014",1,1,10,-28659422,1,0,7,11,"0","1","48065672",0,0,0,0,0,0,0,"5","5","1","3","0","0","2","0"
"4",1200000,"09/03/2012",0,0,3,-7149862,1,0,2,2,"1","0","4100000",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"5",0,"05/02/2009",0,0,2,-15309317,1,0,0,0,"0","1","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"6",8e+06,"06/08/1987",1,0,8,-33273015,0,0,1,0,"0","1","NULL",0,0,0,0,0,0,1,"1","0","0","4","0","0","0","0"
"7",1.4e+07,"30/08/2012",1,1,8,-33273015,2,0,8,0,"0","1","97838349",1,0,1,0,0,0,0,"4","12","4","2","0","1","3","0"
"8",0,"15/01/2004",1,1,1,-50746591,0,0,0,0,"0","0","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","1","0","0"
"9",0,"16/02/1996",1,1,2,-15309317,1,0,12,0,"0","1","152022101",1,0,0,0,0,0,1,"0","0","0","0","0","0","0","0"
"10",6e+06,"16/04/2003",1,1,4,-28405871,1,0,10,1,"0","1","147845033",1,0,0,0,0,0,0,"3","1","0","0","1","0","1","0"
"11",1e+06,"21/11/1976",1,1,11,31944703,1,0,5,2,"0","1","NULL",1,0,0,0,0,0,0,"3","1","1","0","0","1","0","0"
"12",0,"10/07/1987",1,1,7,40981593,1,0,6,2,"0","1","14717854",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"13",1.5e+07,"15/09/1999",1,1,9,-37667937,1,0,14,3,"0","1","189859560",0,0,0,0,0,0,0,"11","11","3","8","0","1","4","0"
"14",5.3e+07,"04/03/2005",1,1,3,-7149862,1,1,24,4,"0","1","296000000",5,0,0,0,1,0,0,"4","0","0","0","0","0","1","0"
"15",1.02e+08,"20/06/2002",1,1,6,74205073,1,0,20,2,"0","1","356830601",19,0,0,0,0,1,0,"19","14","7","13","0","1","4","0"
"16",5e+05,"06/10/2010",0,1,10,-28659422,1,0,0,0,"0","1","NULL",0,0,0,0,1,0,0,"1","3","0","0","0","0","0","0"
"17",2.6e+07,"04/08/2005",1,1,8,-33273015,1,1,4,5,"1","0","285176741",12,0,1,0,0,0,0,"4","14","0","0","0","1","4","0"
"18",0,"25/12/2013",1,1,12,32322910,1,0,22,5,"0","1","301000000",1,0,0,0,0,0,0,"7","3","0","3","0","0","2","0"
"19",8e+06,"02/02/2011",1,1,2,-15309317,3,0,3,3,"1","0","13204291",1,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"20",3.2e+07,"02/08/2005",1,1,8,-33273015,1,0,9,2,"0","1","217764291",2,0,0,0,1,0,0,"0","0","0","0","0","0","0","0"
"21",8e+07,"03/04/1998",1,1,4,-28405871,1,0,11,3,"0","1","315156409",5,0,0,0,0,0,1,"13","9","4","11","0","1","2","0"
"22",4e+06,"13/08/1982",1,1,8,-33273015,1,0,0,0,"1","0","NULL",1,0,1,0,0,0,0,"0","0","0","1","0","0","0","1"
"23",0,"28/07/2012",1,1,7,40981593,1,0,1,1,"0","1","14347000",0,0,1,0,0,0,0,"0","0","0","0","0","0","1","0"
"24",0,"02/09/2011",1,1,9,-37667937,1,0,5,0,"0","1","40846082",1,0,0,0,0,1,0,"0","0","0","0","0","0","0","0"
"25",0,"09/09/2006",1,1,9,-37667937,1,0,0,0,"0","1","NULL",0,0,1,0,0,0,0,"3","1","0","0","0","0","0","0"
"26",0,"23/10/1992",1,1,10,-28659422,2,0,1,1,"0","1","48878502",0,0,1,0,0,1,0,"1","0","0","0","0","0","1","0"
"27",1e+07,"08/09/1997",1,1,9,-37667937,1,0,10,1,"0","1","126297830",2,0,0,0,1,1,0,"4","1","0","0","0","1","4","0"
"28",1.1e+07,"07/09/2013",1,1,9,-37667937,2,0,10,6,"0","1","933959197",3,0,0,0,0,0,0,"2","0","0","0","0","0","1","0"
"29",6e+06,"08/08/1986",1,1,8,-33273015,1,0,2,0,"0","1","37803872",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"30",4.5e+07,"07/04/2002",1,1,4,-28405871,1,0,16,11,"0","1","84431625",1,0,0,0,1,0,0,"1","0","0","0","0","0","0","0"
"31",1.3e+07,"02/11/2011",0,1,11,31944703,1,0,4,1,"0","0","23550000",0,0,0,0,0,0,0,"6","3","1","0","0","0","0","0"
"32",0,"02/05/2005",0,0,5,21757736,5,0,1,2,"0","1","NULL",2,0,0,0,0,1,0,"2","1","0","0","0","0","1","0"
"33",9e+07,"21/10/2015",1,1,10,-28659422,1,0,17,1,"0","1","1506249360",2,1,0,0,0,0,0,"7","13","0","21","0","1","3","0"
"34",0,"02/10/2014",1,1,10,-28659422,5,0,0,2,"0","1","NULL",0,0,1,0,0,0,0,"0","0","0","0","0","3","0","2"
"35",1.4e+08,"08/08/2007",1,1,8,-33273015,1,0,5,2,"0","1","347325802",5,0,0,0,1,0,0,"3","1","0","0","0","0","0","0"
"36",3e+07,"16/04/2012",1,1,4,-28405871,1,1,21,1,"0","1","274470394",3,0,0,0,1,0,0,"3","2","0","0","0","0","0","0"
"37",0,"28/01/2000",1,1,1,-50746591,3,0,1,0,"1","0","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"38",5e+07,"10/03/1995",1,1,3,-7149862,1,0,13,3,"0","1","106260000",5,0,0,0,0,0,0,"1","0","0","0","0","0","1","0"
"39",0,"13/09/2013",1,1,9,-37667937,0,0,0,0,"0","0","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"40",3800000,"07/04/1965",1,0,4,-28405871,1,0,5,2,"0","1","146900000",0,0,0,0,0,0,0,"1","0","0","0","0","0","0","0"
"41",0,"26/04/2006",1,1,4,-28405871,1,0,0,0,"NULL","NULL","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"42",3e+06,"22/06/1967",1,1,6,74205073,1,0,9,2,"0","1","12000000",0,0,0,0,1,0,0,"2","4","2","0","0","0","0","0"
"43",2.5e+07,"03/03/2000",1,1,3,-7149862,1,0,10,3,"1","0","141047179",5,0,0,0,0,0,0,"3","1","0","0","0","0","2","0"
"44",6e+06,"05/09/2014",1,1,9,-37667937,1,0,50,3,"0","1","1004558444",4,0,0,0,0,0,0,"2","0","0","0","0","0","1","0"
"45",1.5e+07,"04/02/2005",1,1,2,-15309317,1,0,4,3,"1","0","171963386",0,0,0,0,0,0,0,"2","1","0","0","0","1","1","1"
"46",3906840,"09/10/2009",0,1,10,-28659422,1,0,0,0,"0","0","NULL",0,0,0,0,1,1,0,"0","0","0","0","0","0","0","0"
"47",8e+07,"23/03/2006",1,1,3,-7149862,1,0,3,6,"0","1","383257136",1,0,0,0,0,0,1,"0","0","1","2","0","0","0","0"
"48",4.4e+07,"25/12/2015",1,1,12,32322910,1,0,65,2,"0","1","1519557910",9,0,0,0,1,1,0,"10","13","0","10","0","0","4","0"
