"id","season","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","windspeed_cat","hum_cat","temp_cat","mnth_cat","hum_wind"
1,1,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,0,1,1,"1",0.129292681518
2,1,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,1,0,1,"1",0.173004766893
3,1,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,1,0,1,"1",0.108578821357
4,1,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,0,0,1,"1",0.09464436876
5,1,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,0,0,1,"1",0.0816672633
6,1,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,0,0,1,"1",0.0464181501172
7,1,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,0,0,1,"1",0.084142981296
8,1,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,959,1,0,1,"1",0.142962387732
9,1,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,822,1,0,1,"1",0.15714674565
10,1,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,1321,1,0,1,"1",0.107819429839
11,1,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,1263,0,0,1,"1",0.083827008048
12,1,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,1162,1,0,1,"1",0.182637594715
13,1,1,0,4,1,1,0.165,0.150883,0.470417,0.301,1406,1,0,1,"1",0.141595517
14,1,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,1421,0,0,1,"1",0.068060804648
15,1,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,1248,0,0,1,"1",0.07878404625
16,1,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,1204,0,0,1,"1",0.09115446375
17,1,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000,0,0,1,"1",0.1042841375
18,1,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,683,0,1,1,"1",0.126471173925
19,1,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,1650,1,0,1,"1",0.154516843263
20,1,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,1927,0,0,1,"1",0.105461588032
