id,season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,cnt
1,1,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,3300.562929
2,1,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,3010.854666
3,1,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,3155.633185
4,1,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,3027.007979
5,1,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,3350.895922
6,1,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,3529.138382
7,1,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,3458.388751
8,1,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,959,3335.789477
9,1,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,822,3138.392816
10,1,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,1321,3411.85054
11,1,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,1263,3261.729504
12,1,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,1162,3589.919291
13,1,1,0,4,1,1,0.165,0.150883,0.470417,0.301,1406,3398.495411
14,1,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,1421,2999.138316
15,1,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,1248,3021.084343
16,1,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,1204,2571.312518
17,1,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000,3568.345243
18,1,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,683,3478.299044
19,1,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,1650,3230.751492
20,1,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,1927,3252.172967
21,1,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,1543,2850.151852
22,1,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,981,2867.360433
23,1,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,986,3103.756774
24,1,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,1416,3447.008876
25,1,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,1985,3399.147043
26,1,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,506,3464.652099
27,1,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,431,3652.330943
28,1,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,1167,3324.456949
29,1,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,1098,3303.766257
30,1,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,1096,3333.546218
31,1,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,1501,3634.464239
32,1,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,1360,3777.415545
33,1,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,1526,3638.896877
34,1,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,1550,3465.088613
35,1,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,1708,2991.179546
36,1,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,1005,3058.91067
37,1,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,1623,3311.480346
38,1,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,1712,3520.244106
39,1,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,1530,3233.437179
