id,season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt_train,cnt_model,cnt_train_test,cnt_model1
1,1,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,3300.562929,1246.549159,2066.526473
2,1,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,3010.854666,1253.483369,1730.246106
3,1,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,3155.633185,1366.494195,1384.421751
4,1,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,3027.007979,1243.834344,1537.637489
5,1,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,3350.895922,1126.290724,1512.13934
6,1,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,3529.138382,1148.424879,1853.5171
7,1,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,3458.388751,1404.00579,2582.623205
8,1,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,959,3335.789477,1361.569151,1978.996502
9,1,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,822,3138.392816,1181.224104,1495.48798
10,1,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,1321,3411.85054,1337.536939,1532.003768
11,1,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,1263,3261.729504,1046.200215,1382.564777
12,1,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,1162,3589.919291,1425.130012,1874.675607
13,1,1,0,4,1,1,0.165,0.150883,0.470417,0.301,1406,3398.495411,1471.66608,1716.062902
14,1,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,1421,2999.138316,1494.626815,1126.903402
15,1,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,1248,3021.084343,1411.280229,954.9604773
16,1,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,1204,2571.312518,1822.40168,1430.3253
17,1,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000,3568.345243,2205.727211,1472.289146
